application_id,age,age_group,gender,ethnicity,education,employment_type,marital_status,annual_income,monthly_income,loan_amount_requested,loan_purpose,credit_score,monthly_debt_payments,debt_to_income_ratio,employment_length_years,savings,num_credit_lines,num_delinquencies,home_ownership,risk_score,decision,interest_rate,decision_date,biased_risk_score,biased_decision,bias_present
LA000067,18,18-25,Male,White,High School,Contract,Divorced,37234,3102,15000,Other,685,967,31.17,0,8687,14,0,Own,50,Denied,,2025-06-11T13:31:48.766423,38.13,Denied,True
LA000068,50,36-50,Female,White,Some College,Full-time,Married,63524,5293,94000,Business,748,971,18.34,20,17309,9,1,Mortgage,75,Approved,7.66,2025-04-27T13:31:48.766539,61.78,Approved,True
LA000069,57,51-65,Female,Hispanic,High School,Full-time,Single,40246,3353,24000,Medical,723,1472,43.89,20,95812,4,0,Rent,70,Approved,8.36,2025-09-28T13:31:48.766669,60.01,Approved,True
LA000070,40,36-50,Male,Hispanic,Bachelor,Full-time,Single,96482,8040,61000,Home Improvement,706,3062,38.08,7,176178,10,0,Mortgage,80,Approved,8.58,2025-06-12T13:31:48.767458,79.41,Approved,False
LA000071,62,51-65,Male,White,High School,Self-employed,Single,66313,5526,129000,Home Improvement,736,628,11.36,4,107429,13,2,Own,70,Approved,8.67,2025-11-20T13:31:48.768250,65.74,Approved,False
LA000072,60,51-65,Female,White,High School,Contract,Married,52141,4345,84000,Medical,763,1512,34.8,23,42230,10,0,Rent,80,Approved,7.25,2025-11-20T13:31:48.768492,69.23,Approved,True
LA000073,29,26-35,Male,Asian,PhD,Self-employed,Married,163818,13651,297000,Business,774,3070,22.49,7,170182,10,0,Rent,95,Approved,7.31,2025-09-13T13:31:48.768906,85.36,Approved,True
LA000074,22,18-25,Female,White,Some College,Contract,Single,46825,3902,57000,Medical,641,1276,32.7,3,13152,6,0,Mortgage,45,Denied,,2025-10-05T13:31:48.769271,21.56,Denied,True
LA000075,48,36-50,Female,White,High School,Full-time,Single,40795,3399,78000,Debt Consolidation,687,1197,35.21,8,12450,8,0,Rent,60,Denied,,2025-05-24T13:31:48.769425,48.3,Denied,True
LA000076,36,36-50,Male,White,PhD,Full-time,Single,135604,11300,320000,Medical,648,5051,44.7,15,219858,14,0,Rent,50,Denied,,2025-12-28T13:31:48.769524,46.97,Denied,False
LA000077,56,51-65,Male,Asian,High School,Contract,Single,35856,2988,83000,Debt Consolidation,751,783,26.2,13,83662,12,0,Own,95,Approved,8.42,2025-12-20T13:31:48.769622,97.09,Approved,False
LA000078,56,51-65,Male,Other,High School,Full-time,Divorced,40637,3386,26000,Medical,837,1192,35.2,5,42049,6,0,Mortgage,85,Approved,6.74,2025-06-12T13:31:48.769726,85.16,Approved,False
LA000079,44,36-50,Male,Black,Bachelor,Full-time,Married,96500,8041,232000,Debt Consolidation,850,2635,32.77,15,242305,12,0,Mortgage,85,Approved,6.22,2026-02-01T13:31:48.769823,85.64,Approved,False
LA000080,59,51-65,Male,White,PhD,Self-employed,Married,157195,13099,190000,Debt Consolidation,813,3317,25.32,12,454462,12,0,Mortgage,95,Approved,6.79,2025-11-24T13:31:48.769920,96.86,Approved,False
LA000081,43,36-50,Female,White,Bachelor,Full-time,Married,73709,6142,182000,Medical,760,1614,26.28,7,85564,6,0,Rent,95,Approved,7.47,2026-02-02T13:31:48.770012,83.68,Approved,True
LA000082,18,18-25,Female,Other,Some College,Part-time,Single,29100,2425,54000,Business,553,513,21.15,0,26880,13,0,Rent,45,Denied,,2026-01-04T13:31:48.770097,26.29,Denied,True
LA000083,62,51-65,Female,White,Master,Self-employed,Divorced,154014,12834,146000,Debt Consolidation,752,3487,27.17,1,457388,11,0,Rent,85,Approved,7.84,2025-06-29T13:31:48.770191,74.28,Approved,True
LA000084,50,36-50,Male,White,Master,Self-employed,Single,164443,13703,391000,Debt Consolidation,850,2795,20.4,16,216631,6,0,Mortgage,95,Approved,5.72,2025-08-06T13:31:48.770282,97.31,Approved,False
LA000085,18,18-25,Female,Hispanic,Master,Full-time,Married,74218,6184,30000,Home Improvement,642,734,11.87,0,40777,6,0,Rent,60,Approved,10.23,2026-01-20T13:31:48.770378,37.2,Denied,True
LA000086,31,26-35,Male,Hispanic,Master,Full-time,Married,93748,7812,166000,Medical,704,993,12.71,5,107003,2,0,Mortgage,95,Approved,9.37,2025-09-28T13:31:48.770474,85.91,Approved,True
LA000087,32,26-35,Female,Black,Bachelor,Part-time,Divorced,56607,4717,77000,Medical,621,1214,25.74,0,84558,14,0,Rent,60,Denied,,2026-01-29T13:31:48.770562,43.4,Denied,True
LA000088,40,36-50,Male,Hispanic,Bachelor,Full-time,Single,84452,7037,73000,Debt Consolidation,754,1774,25.21,0,70812,4,0,Own,80,Approved,7.94,2025-10-12T13:31:48.770658,78.72,Approved,False
LA000089,29,26-35,Female,Hispanic,Bachelor,Full-time,Single,59071,4922,143000,Other,650,1143,23.22,9,16297,9,0,Mortgage,70,Approved,10.32,2025-04-25T13:31:48.770747,52.43,Denied,True
LA000090,19,18-25,Female,White,Bachelor,Full-time,Married,70058,5838,64000,Debt Consolidation,671,2465,42.22,0,4003,9,0,Own,35,Denied,,2026-01-09T13:31:48.770837,13.26,Denied,True
LA000091,78,65+,Female,Hispanic,Some College,Self-employed,Married,86396,7199,132000,Debt Consolidation,817,2598,36.09,8,224228,1,0,Rent,85,Approved,7.14,2025-02-28T13:31:48.770924,75.02,Approved,True
LA000092,64,51-65,Female,Hispanic,Master,Part-time,Widowed,85368,7114,141000,Debt Consolidation,843,1602,22.52,18,150498,11,0,Mortgage,95,Approved,6.58,2025-06-09T13:31:48.771010,85.51,Approved,True
LA000093,37,36-50,Female,White,High School,Part-time,Married,30469,2539,17000,Business,700,474,18.67,4,45421,6,0,Rent,90,Approved,9.38,2025-11-21T13:31:48.771099,78.1,Approved,True
LA000094,50,36-50,Female,White,Bachelor,Part-time,Married,49483,4123,18000,Other,704,1428,34.63,2,38988,2,0,Rent,70,Approved,9.01,2025-07-13T13:31:48.771199,64.1,Approved,True
LA000095,36,36-50,Female,Hispanic,High School,Full-time,Married,47554,3962,69000,Debt Consolidation,628,1255,31.67,9,56105,7,0,Own,60,Approved,10.27,2025-05-04T13:31:48.771293,49.41,Denied,True
LA000096,28,26-35,Male,White,High School,Full-time,Single,32826,2735,49000,Debt Consolidation,691,1142,41.75,1,54329,3,0,Mortgage,50,Denied,,2025-04-01T13:31:48.771375,39.47,Denied,True
LA000097,43,36-50,Female,White,Master,Full-time,Married,128330,10694,69000,Home Improvement,773,2278,21.3,17,114847,2,0,Mortgage,90,Approved,7.21,2025-08-22T13:31:48.771466,80.97,Approved,True
LA000098,35,26-35,Male,White,Some College,Full-time,Single,62161,5180,146000,Debt Consolidation,693,1529,29.52,2,111360,5,0,Rent,75,Approved,8.75,2026-01-11T13:31:48.771559,64.99,Approved,True
LA000099,18,18-25,Male,White,High School,Full-time,Married,43389,3615,62000,Debt Consolidation,665,695,19.22,0,2830,2,0,Rent,60,Approved,9.23,2025-05-07T13:31:48.771651,47.52,Denied,True
LA000100,44,36-50,Female,Hispanic,Bachelor,Full-time,Divorced,66493,5541,50000,Other,662,655,11.82,7,71055,13,0,Mortgage,85,Approved,10.04,2025-02-16T13:31:48.771739,75.98,Approved,True
LA000101,63,51-65,Male,White,Master,Self-employed,Single,119549,9962,206000,Home Improvement,832,2631,26.41,9,203038,12,0,Mortgage,95,Approved,5.95,2025-07-25T13:31:48.771831,91.75,Approved,False
LA000102,33,26-35,Female,White,Bachelor,Full-time,Married,60521,5043,26000,Debt Consolidation,706,2021,40.07,8,21991,7,0,Mortgage,60,Approved,8.8,2025-05-20T13:31:48.771917,40.51,Denied,True
LA000103,20,18-25,Female,White,Some College,Self-employed,Married,65631,5469,102000,Debt Consolidation,661,2300,42.05,1,8707,6,0,Mortgage,35,Denied,,2025-12-09T13:31:48.772002,11.7,Denied,True
LA000104,19,18-25,Female,White,Some College,Full-time,Married,48585,4048,22000,Home Improvement,615,1483,36.63,0,37195,9,0,Own,45,Denied,,2025-03-23T13:31:48.772091,21.56,Denied,True
LA000105,32,26-35,Male,Hispanic,High School,Full-time,Single,35150,2929,40000,Medical,687,318,10.86,3,21516,4,0,Own,75,Approved,8.78,2025-07-16T13:31:48.772178,64.85,Approved,True
LA000106,34,26-35,Female,White,Bachelor,Full-time,Married,78978,6581,152000,Home Improvement,731,1809,27.49,2,87406,4,0,Mortgage,85,Approved,8.48,2025-12-29T13:31:48.772292,65.09,Approved,True
LA000107,50,36-50,Female,White,Bachelor,Full-time,Single,88024,7335,137000,Home Improvement,760,1033,14.08,22,86507,2,0,Mortgage,95,Approved,7.36,2025-08-21T13:31:48.772382,86.16,Approved,True
LA000108,52,51-65,Male,White,PhD,Part-time,Single,89796,7483,100000,Debt Consolidation,743,1434,19.16,7,126452,14,0,Mortgage,95,Approved,7.83,2025-08-12T13:31:48.772619,97.67,Approved,False
LA000109,31,26-35,Female,White,Some College,Full-time,Single,48983,4081,42000,Business,676,561,13.74,1,57149,11,0,Rent,75,Approved,9.32,2025-09-11T13:31:48.772958,59.85,Denied,True
LA000110,32,26-35,Male,White,Bachelor,Full-time,Widowed,77443,6453,115000,Medical,713,2440,37.81,0,47820,3,0,Rent,65,Approved,8.86,2025-05-04T13:31:48.773261,56.22,Denied,True
LA000111,27,26-35,Female,Asian,Master,Self-employed,Single,133595,11132,229000,Home Improvement,741,1501,13.48,3,68744,3,0,Own,85,Approved,7.69,2026-01-19T13:31:48.773354,66.37,Approved,True
LA000112,28,26-35,Female,Asian,Bachelor,Full-time,Single,88776,7398,93000,Debt Consolidation,800,856,11.57,2,17817,12,0,Mortgage,85,Approved,6.68,2025-11-16T13:31:48.773442,64.44,Approved,True
LA000113,56,51-65,Female,White,Some College,Full-time,Single,60752,5062,101000,Business,698,1942,38.36,22,112429,7,0,Mortgage,70,Approved,8.64,2025-10-10T13:31:48.773535,58.06,Denied,True
LA000114,35,26-35,Female,White,Bachelor,Full-time,Married,73466,6122,133000,Medical,721,2269,37.06,5,103414,3,0,Rent,80,Approved,8.87,2025-10-01T13:31:48.773626,62.69,Approved,True
LA000115,36,36-50,Female,White,Some College,Full-time,Widowed,52129,4344,96000,Debt Consolidation,746,1737,39.99,9,45873,6,0,Mortgage,75,Approved,8.24,2025-12-09T13:31:48.773717,62.91,Approved,True
LA000116,27,26-35,Female,White,Bachelor,Self-employed,Married,101105,8425,31000,Home Improvement,692,3577,42.45,3,17244,8,0,Mortgage,40,Denied,,2026-02-05T13:31:48.773802,22.2,Denied,True
LA000117,42,36-50,Male,White,Master,Self-employed,Divorced,136817,11401,150000,Debt Consolidation,691,1860,16.31,0,297554,2,0,Own,75,Approved,9.5,2025-12-07T13:31:48.773894,75.22,Approved,False
LA000118,33,26-35,Male,Asian,Some College,Full-time,Married,44432,3702,65000,Debt Consolidation,637,977,26.39,3,40851,4,0,Rent,60,Denied,,2025-07-22T13:31:48.773981,53.89,Denied,True
LA000119,48,36-50,Female,Hispanic,Master,Self-employed,Married,142375,11864,106000,Debt Consolidation,748,2193,18.48,4,266857,13,0,Mortgage,90,Approved,7.72,2025-09-19T13:31:48.774076,80.75,Approved,True
LA000120,28,26-35,Male,Black,Master,Full-time,Married,89743,7478,95000,Debt Consolidation,700,1444,19.31,6,88455,4,0,Mortgage,90,Approved,8.83,2025-08-30T13:31:48.774164,80.9,Approved,True
LA000121,43,36-50,Male,Black,Master,Full-time,Married,93092,7757,189000,Debt Consolidation,671,1067,13.75,18,80042,5,0,Mortgage,80,Approved,9.22,2025-09-15T13:31:48.774255,82.87,Approved,False
LA000122,36,36-50,Male,White,Bachelor,Full-time,Single,63396,5283,109000,Home Improvement,693,1813,34.32,14,6453,11,0,Own,55,Approved,9.28,2025-07-04T13:31:48.774346,58.1,Denied,False
LA000123,32,26-35,Male,White,Some College,Part-time,Married,27485,2290,15000,Debt Consolidation,656,568,24.8,6,41372,13,0,Mortgage,80,Approved,10.06,2025-07-20T13:31:48.774434,72.28,Approved,True
LA000124,26,26-35,Female,Hispanic,Bachelor,Contract,Married,76394,6366,169000,Home Improvement,601,2241,35.2,6,116267,10,0,Mortgage,60,Approved,11.1,2026-01-19T13:31:48.774526,43.91,Denied,True
LA000125,46,36-50,Male,White,Some College,Part-time,Married,38817,3234,76000,Debt Consolidation,680,1018,31.47,10,68050,3,0,Rent,70,Approved,9.11,2025-04-27T13:31:48.774615,73.53,Approved,False
LA000126,56,51-65,Female,White,Some College,Full-time,Married,46996,3916,101000,Home Improvement,790,514,13.12,9,97040,5,0,Rent,100,Approved,6.82,2025-11-06T13:31:48.774705,90.23,Approved,True
LA000127,43,36-50,Male,White,Bachelor,Self-employed,Single,90707,7558,43000,Business,756,2024,26.78,4,57378,14,0,Mortgage,85,Approved,8.38,2025-11-02T13:31:48.774838,86.38,Approved,False
LA000128,39,36-50,Female,Black,Bachelor,Self-employed,Divorced,94291,7857,35000,Debt Consolidation,756,1935,24.63,6,19967,2,2,Rent,65,Denied,,2025-07-18T13:31:48.774919,54.86,Denied,True
LA000129,31,26-35,Female,White,Some College,Part-time,Divorced,29517,2459,53000,Debt Consolidation,732,941,38.26,0,6385,13,0,Own,60,Denied,,2025-03-01T13:31:48.775022,43.29,Denied,True
LA000130,27,26-35,Male,White,Bachelor,Full-time,Single,76176,6348,90000,Home Improvement,707,709,11.17,5,93990,9,0,Mortgage,95,Approved,9.12,2025-07-21T13:31:48.775308,82.88,Approved,True
LA000131,55,51-65,Female,White,Bachelor,Self-employed,Married,126222,10518,278000,Other,781,4642,44.13,0,63953,14,0,Mortgage,60,Denied,,2025-12-08T13:31:48.775444,50.0,Denied,True
LA000132,20,18-25,Male,White,Bachelor,Contract,Single,47744,3978,107000,Debt Consolidation,559,490,12.32,0,31805,1,0,Rent,50,Denied,,2025-06-12T13:31:48.775557,35.87,Denied,True
